SerialNumber,Capacity
2M200201DN,457.83
2M200201D8,41206.32
2M200201D8,3052.328
2M200201D8,457.83
2M200201DC,41206.32
2M200201DC,3052.328
2M200201DC,457.83
2M200201DW,41206.32
2M200201DW,3052.328
2M200201DW,457.83
2M200201D9,41206.32
2M200201D9,3052.328
2M200201D9,457.83
2M200201DF,41206.32
2M200201DF,3052.328
2M200201DF,457.83
2M200201DX,41206.32
2M200201DX,3052.328
2M200201DX,457.83
2M200201D4,41206.32
2M200201D4,3052.328
2M200201D4,457.83
2M200201DK,41206.32
2M200201DK,3052.328
2M200201DK,457.83
2M200201DV,41206.32
2M200201DV,3052.328
2M200201DV,457.83
2M200201DR,41206.32
2M200201DR,3052.328
2M200201DR,457.83
2M200201DS,41206.32
2M200201DS,3052.328
2M200201DS,457.83
2M200201DB,41206.32
2M200201DB,3052.328
2M200201DB,457.83
2M200201DP,41206.32
2M200201DP,3052.328
2M200201DP,457.83
2M200201DQ,41206.32
2M200201DQ,3052.328
2M200201DQ,457.83
2M200201DT,41206.32
2M200201DT,3052.328
2M200201DT,457.83
2M200201DL,41206.32
2M200201DL,3052.328
2M200201DL,457.83
2M200201D5,41206.32
2M200201D5,3052.328
2M200201D5,457.83
2M200201D6,41206.32
2M200201D6,3052.328
2M200201D6,457.83
2M200201DH,41206.32
2M200201DH,3052.328
2M200201DH,457.83
2M200201DM,41206.32
2M200201DM,3052.328
2M200201DM,457.83
2M211501TK,763.065
2M211501TK,347149.504
2M211501TK,347149.504
2M211501TH,763.065
2M211501TH,347149.504
2M211501TH,347149.504
2M201805D7,763.065
2M201805D7,297548.992
2M201805D7,297548.992
2M21230271,763.065
2M21230271,320445.696
2M21230271,320445.696
2M21230272,763.065
2M21230272,320445.696
2M21230272,320445.696
2M21230273,763.065
2M21230273,320445.696
2M21230273,320445.696
2M21230277,763.065
2M21230277,320445.696
2M21230277,320445.696
2M2123040F,1144.586
2M21230374,1144.586
MXQ00900PF,457.821
MXQ925030J,572.293
MXQ0110544,457.821
MXQ011054F,457.821
MXQ00900Q9,457.821
MXQ011054M,915.66
MXQ0110542,457.83
MXQ0110559,457.821
MXQ1060Y34,457.821
MXQ00900Q5,457.821
MXQ011054T,457.821
MXQ011055G,457.83
MXQ00900PQ,457.821
MXQ011054S,457.83
MXQ0110543,457.83
MXQ00900PK,457.821
MXQ00900PV,457.821
MXQ00900PH,457.821
MXQ011054R,457.821
MXQ0110548,457.821
MXQ00900PR,457.83
MXQ011054P,457.821
MXQ011055D,457.821
MXQ00900Q3,457.83
MXQ00900Q4,457.821
MXQ00900PS,457.83
MXQ0320CX9,457.83
MXQ925030F,572.293
MXQ011055C,457.821
MXQ0110546,457.821
MXQ00900PX,457.821
MXQ011054G,457.83
MXQ0110553,457.821
MXQ0110547,457.821
MXQ00900Q2,457.821
MXQ00900Q7,457.821
MXQ0320CX6,457.83
MXQ0320CX7,457.83
MXQ0320CX5,457.83
MXQ0110552,457.83
MXQ02705LZ,457.83
MXQ00900Q6,1526.153
MXQ011054W,457.83
MXQ00900PT,457.83
MXQ00900PN,457.821
MXQ0320CX8,457.83
MXQ2040H0C,915.683
GW03NP4373,457.83
MXQ0110549,457.821
MXQ011054L,457.83
MXQ2040H0G,915.683
MXQ2040H0H,915.683
MXQ2040H0F,915.683
MXQ00900PZ,457.83
MXQ00900Q8,457.83
MXQ011055B,457.83
MXQ0500T5T,457.83
MXQ925030D,572.293
MXQ00900Q1,457.83
MXQ00900PG,457.821
MXQ011054K,457.821
MXQ011055K,457.821
MXQ0500T5V,457.83
MXQ00900PJ,457.83
MXQ2040H0J,915.683
MXQ2040H09,915.683
MXQ1060Y31,457.821
MXQ0110551,457.821
MXQ0110557,457.83
MXQ2040H0D,915.683
MXQ2040H0K,915.683
MXQ2040H0B,915.683
MXQ00900PM,457.83
MXQ022056K,457.83
MXQ011054J,457.821
MXQ0110558,457.83
MXQ9250309,572.293
MXQ00900PP,457.83
MXQ0260062,457.83
MXQ011054Z,457.821
MXQ0260061,457.83
CZ212904MJ,1144.609
MXQ00900QN,457.821
MXQ0320CYM,457.83
MXQ0500T5W,457.83
MXQ00900RJ,457.821
MXQ00900QK,457.83
MXQ00900R4,457.83
MXQ00900QJ,457.83
MXQ00900QX,457.83
MXQ00900R7,457.83
MXQ00900RC,457.821
MXQ2040H0P,915.683
MXQ2040H0M,915.683
MXQ9250306,572.293
MXQ00900QY,457.83
MXQ00900QS,457.83
MXQ00900RD,457.83
MXQ00900R1,457.83
MXQ0320CYL,457.83
MXQ02908DR,457.83
MXQ00900QQ,457.83
MXQ00900RB,457.83
MXQ00900QZ,457.83
MXQ00900QV,457.83
MXQ00900R8,457.83
MXQ00900RH,457.821
MXQ2040H0N,915.683
MXQ2040H0Q,915.683
MXQ9250307,572.293
MXQ00900QP,457.83
MXQ00900QM,457.83
MXQ00900R9,457.83
MXQ91300VK,457.83
MXQ914025M,457.83
MXQ91300VT,457.83
MXQ91300VX,457.83
MXQ91300VN,457.83
MXQ91300VV,457.83
MXQ91300VW,457.83
MXQ1140XFT,457.83
MXQ1140XFQ,457.83
MXQ1140XFR,457.83
MXQ1140XFS,457.83
MXQ926028K,286.07
MXQ914025L,457.83
MXQ926028N,286.07
MXQ00900R3,457.83
MXQ00900QT,457.821
MXQ00900R6,457.83
SGH936XFD8,41206.32
SGH936XFD8,3052.328
SGH936XFD8,457.83
SGH936XFDF,41206.32
SGH936XFDF,3052.328
SGH936XFDF,457.83
SGH936XFCR,41206.32
SGH936XFCR,3052.328
SGH936XFCR,457.83
SGH936XFCK,41206.32
SGH936XFCK,3052.328
SGH936XFCK,457.83
SGH936XFD3,41206.32
SGH936XFD3,3052.328
SGH936XFD3,457.83
SGH936XFCG,41206.32
SGH936XFCG,3052.328
SGH936XFCG,457.83
SGH936XFCN,41206.32
SGH936XFCN,3052.328
SGH936XFCN,457.83
SGH936XFBX,41206.32
SGH936XFBX,3052.328
SGH936XFBX,457.83
SGH936XFBS,41206.32
SGH936XFBS,3052.328
SGH936XFBS,457.83
SGH936XFCV,41206.32
SGH936XFCV,3052.328
SGH936XFCV,457.83
SGH936XFCB,41206.32
SGH936XFCB,3052.328
SGH936XFCB,457.83
SGH936XFCF,41206.32
SGH936XFCF,3052.328
SGH936XFCF,457.83
SGH936XFCL,41206.32
SGH936XFCL,3052.328
SGH936XFCL,457.83
SGH936XFCZ,41206.32
SGH936XFCZ,3052.328
SGH936XFCZ,457.83
SGH936XFCS,41206.32
SGH936XFCS,3052.328
SGH936XFCS,457.83
SGH936XFC9,41206.32
SGH936XFC9,3052.328
SGH936XFC9,457.83
SGH936XFD1,41206.32
SGH936XFD1,3052.328
SGH936XFD1,457.83
SGH936XFD9,41206.32
SGH936XFD9,3052.328
SGH936XFD9,457.83
SGH936XFDJ,41206.32
SGH936XFDJ,3052.328
SGH936XFDJ,457.83
SGH936XFDD,41206.32
SGH936XFDD,3052.328
SGH936XFDD,457.83
SGH936XFD5,41206.32
SGH936XFD5,3052.328
SGH936XFD5,457.83
SGH936XFB8,41206.32
SGH936XFB8,3052.328
SGH936XFB8,457.83
SGH936XFBV,41206.32
SGH936XFBV,3052.328
SGH936XFBV,457.83
SGH936XFBN,41206.32
SGH936XFBN,3052.328
SGH936XFBN,457.83
SGH936XFBQ,41206.32
SGH936XFBQ,3052.328
SGH936XFBQ,457.83
SGH936XFCY,41206.32
SGH936XFCY,3052.328
SGH936XFCY,457.83
SGH936XFBG,41206.32
SGH936XFBG,3052.328
SGH936XFBG,457.83
SGH936XFB6,41206.32
SGH936XFB6,3052.328
SGH936XFB6,457.83
SGH936XFBD,41206.32
SGH936XFBD,3052.328
SGH936XFBD,457.83
SGH936XFBB,41206.32
SGH936XFBB,3052.328
SGH936XFBB,457.83
SGH125X889,1144.586
SGH125X88C,1144.586
SGH935X44W,457.83
SGH049Y366,457.83
SGH049Y368,457.83
SGH935X43J,457.83
SGH935X44R,457.83
SGH023TZCT,1831.388
SGH935X44N,457.83
SGH049Y36B,457.83
SGH049Y360,457.83
SGH935X44T,457.83
SGH935X44J,457.83
SGH934W3CK,457.83
SGH023TZCP,1831.388
SGH935X43P,457.83
SGH049Y364,457.83
SGH049Y35Y,457.83
SGH935X43G,457.83
SGH023TZCR,1831.388
SGH934W3CN,457.83
SGH935X43M,457.83
SGH049Y362,457.83
SGH049Y35W,457.83
SGH935X44L,457.83
SGH935X43D,457.83
SGH934W3CY,1526.153
SGH935X433,457.83
SGH049Y36S,457.83
SGH049Y36N,457.83
SGH935X431,457.83
SGH023TZD4,1831.388
SGH934W93H,457.83
SGH935X438,457.83
SGH049Y36J,457.83
SGH049Y36G,457.83
SGH935X436,457.83
SGH935X42Z,457.83
SGH934W93B,1526.153
SGH935X44F,457.83
SGH049Y36Q,457.83
SGH049Y36V,457.83
SGH935X444,457.83
SGH935X449,457.83
SGH023TZD0,1831.388
SGH935X446,457.83
SGH049Y36L,457.83
SGH049Y36D,457.83
SGH935X44C,457.83
SGH935X442,457.83
SGH934W938,457.83
SGH023TZD2,1831.388
CZ285002NC,3052.328
CZ285002NC,41206.32
CZ285002NC,457.83
CZ285002ND,3052.328
CZ285002ND,41206.32
CZ285002ND,457.83
CZ285002NF,3052.328
CZ285002NF,41206.32
CZ285002NF,457.83
CZ285002NG,3052.328
CZ285002NG,41206.32
CZ285002NG,457.83
CZ285002NH,3052.328
CZ285002NH,41206.32
CZ285002NH,457.83
CZ285002NJ,3052.328
CZ285002NJ,41206.32
CZ285002NJ,457.83
CZ285002NK,3052.328
CZ285002NK,41206.32
CZ285002NK,457.83
CZ285002NL,3052.328
CZ285002NL,41206.32
CZ285002NL,457.83
CZ285002NM,3052.328
CZ285002NM,41206.32
CZ285002NM,457.83
CZ285002NN,3052.328
CZ285002NN,41206.32
CZ285002NN,457.83
CZ285002NQ,3052.328
CZ285002NQ,41206.32
CZ285002NQ,457.83
CZ285002M9,3052.328
CZ285002M9,41206.32
CZ285002M9,457.83
CZ285002MB,3052.328
CZ285002MB,41206.32
CZ285002MB,457.83
CZ285002MC,3052.328
CZ285002MC,41206.32
CZ285002MC,457.83
CZ285002MD,3052.328
CZ285002MD,41206.32
CZ285002MD,457.83
CZ285002MF,3052.328
CZ285002MF,41206.32
CZ285002MF,457.83
CZ285002MG,41206.32
CZ285002MG,3052.328
CZ285002MG,457.83
CZ285002MH,3052.328
CZ285002MH,41206.32
CZ285002MH,457.83
CZ285002MJ,3052.328
CZ285002MJ,41206.32
CZ285002MJ,457.83
CZ285002MK,3052.328
CZ285002MK,41206.32
CZ285002MK,457.83
CZ285002ML,3052.328
CZ285002ML,41206.32
CZ285002ML,457.83
CZ285002MM,3052.328
CZ285002MM,41206.32
CZ285002MM,457.83
CZ285002NR,3052.328
CZ285002NR,41206.32
CZ285002NR,457.83
CZ285002NS,3052.328
CZ285002NS,41206.32
CZ285002NS,457.83
CZ285002NT,3052.328
CZ285002NT,41206.32
CZ285002NT,457.83
CZ285002NV,3052.328
CZ285002NV,41206.32
CZ285002NV,457.83
CZ285002MN,3052.328
CZ285002MN,41206.32
CZ285002MN,457.83
CZ285002MQ,3052.328
CZ285002MQ,41206.32
CZ285002MQ,457.83
CZ285002MR,3052.328
CZ285002MR,41206.32
CZ285002MR,457.83
CZ285002MS,3052.328
CZ285002MS,41206.32
CZ285002MS,457.83
CZ21270CCW,763.065
CZ21270CCW,721002.816
CZ2951008H,763.065
CZ2951008H,297548.992
CZ2951008H,297548.992
CZ2951008J,763.065
CZ2951008J,297548.992
CZ2951008J,297548.992
CZ2951084N,763.065
CZ2951084N,297548.992
CZ2951084N,297548.992
CZ2951084Q,763.065
CZ2951084Q,297548.992
CZ2951084Q,297548.992
CZ2951008K,763.065
CZ2951008K,297548.992
CZ2951008K,297548.992
CZ2951084R,763.065
CZ2951084R,297548.992
CZ2951084R,297548.992
CZ2109043V,763.065
CZ2109043V,274660.608
CZ2109043V,274660.608
CZ210904NL,763.065
CZ210904NL,274660.608
CZ210904NL,274660.608
CZ2128040Z,1526.153
CZ2128040Z,721002.816
CZ2109043T,763.065
CZ2109043T,274660.608
CZ2109043T,274660.608
CZ210904NK,763.065
CZ210904NK,274660.608
CZ210904NK,274660.608
CZ29250BJ9,36627.84
CZ29250BJ9,457.83
CZ29250LVF,36627.84
CZ29250LVF,457.83
CZ211900M7,1144.586
CZ21180DSY,1144.586
CZJ9250719,457.83
CZJ925071H,457.83
CZJ0200BTM,457.83
CZJ925071M,457.83
CZJ925071K,457.83
CZJ00607BF,457.83
CZJ03707RQ,457.83
CZJ03707QP,457.83
CZJ11003JT,457.821
CZJ03707RC,457.83
CZJ03504LG,457.83
CZJ03707QT,457.83
CZJ03707R6,457.83
CZJ93904YS,457.83
CZJ9430M0N,1831.388
CZJ00607BL,457.821
CZJ03707QW,457.83
CZJ0200BT4,457.821
CZJ03707QS,457.83
CZJ00607BH,457.83
CZJ03504LC,457.83
CZJ93204DF,457.83
CZJ03504LK,457.83
CZJ9430HJ1,1831.388
CZJ0200BTG,457.821
CZJ11003JV,457.821
CZJ03504LQ,457.83
CZJ03707RS,457.83
CZJ03707QV,457.83
CZJ00607BG,457.821
CZJ03707R3,457.83
CZJ0200BTB,457.821
CZJ00607BK,457.821
CZJ93904ZM,457.83
CZJ0200BTC,457.821
CZJ0200BT6,457.821
CZJ0200BTF,457.821
CZJ0200BT9,457.821
CZJ93904ZL,457.83
CZJ94603KG,457.83
CZJ11003JS,457.821
CZJ9430M0K,1831.388
CZJ0200BT8,457.821
CZJ93904ZJ,457.83
CZJ93904YP,457.83
CZJ0200BT7,457.821
CZJ0200BTD,457.821
CZJ00607BJ,457.821
CZJ93904YW,457.83
CZJ93904YQ,457.83
CZJ93904YV,457.83
CZJ93904YZ,457.83
CZJ93904YY,457.83
CZJ93904YN,457.83
CZJ93904ZP,457.83
CZJ93904ZS,457.83
CZJ93904ZH,457.83
CZJ93904ZB,457.83
CZJ9390501,457.83
CZJ93904ZW,457.83
CZJ93904Z9,457.83
CZJ93904ZZ,457.83
CZJ93904ZR,457.83
CZJ93904Z7,457.83
CZJ03707QQ,457.83
CZJ03707R5,457.83
CZJ94603KH,915.683
CZJ03707QL,457.83
CZJ03707QR,457.83
CZJ94603KW,457.83
CZJ94603KD,457.83
CZJ94603K9,457.83
CZJ94603KN,457.83
CZJ94603KS,457.83
CZJ94603KM,457.83
CZJ94603KP,457.83
CZJ0070746,457.83
CZJ007073J,457.83
CZJ007073J,915.66
CZJ007073J,457.83
CZJ0070740,457.83
CZJ007073S,457.83
CZJ007074L,457.83
CZJ007074B,457.83
CZJ0070747,457.83
CZJ007074C,457.83
CZJ007073V,457.83
CZJ007073W,457.83
CZJ0070749,457.83
CZJ0070749,915.66
CZJ0070749,457.83
CZJ0070745,457.83
CZJ007073K,457.83
CZJ007073X,457.83
CZJ0070741,457.83
CZJ007074D,457.83
CZJ007074D,915.66
CZJ007074D,457.83
CZJ007074N,457.83
CZJ007073Q,457.83
CZJ007073M,457.83
CZJ007074G,457.83
CZJ0070744,457.83
CZJ0070744,915.66
CZJ0070744,457.83
CZJ0070742,457.83
CZJ0070743,457.83
CZJ007074M,457.83
CZJ007073N,457.83
CZJ007073L,457.83
CZJ007074F,457.83
CZJ007073Y,457.83
CZJ007073Y,915.66
CZJ007073Y,457.83
CZJ007073Z,457.83
CZJ007073T,457.83
CZJ007074J,457.83
CZJ007074H,457.83
CZJ007073P,457.83
CZJ007073P,915.66
CZJ007073P,457.83
CZJ007074K,457.83
CZJ0070748,457.83
CZJ007073R,457.83
CZJ11003JZ,457.821
CZJ11003JR,457.821
CZJ11003JY,457.821
CZJ11003JW,457.821
CZJ11003KC,457.821
CZJ11003JX,457.821
CZJ11003KH,457.821
CZJ11003KG,457.821
CZJ11003KF,457.821
CZJ11003KB,457.821
CZJ11003K9,457.821
CZJ11003K8,457.821
CZJ11003KD,457.821
CZJ9250716,457.83
CZJ925071F,457.83
CZJ9250717,457.83
CZJ925071B,457.83
CZJ9430HFH,457.83
CZJ03707RN,457.83
CZJ03707RG,457.83
CZJ9430HDK,457.83
CZJ00800FY,457.83
CZJ03707RM,457.83
CZJ03707RL,457.83
